Game_ID,Game_Genre,Game_Title,Game_Price_in_Dollars,Game_Edition_Score,Game_Popularity_Score,Game_Outlet_Id,Store_Sale_Year,Store_Size,Store_Location_Type,Store_Outlet_Type,Total_Outlet_Sales
GM_FDW58,Action,DOTA,10.78622,20.75,0.007564836,49,2017,Medium,Metropolitan,Supermarket,3735.138
GM_FDW14,Strategy,PUBG,8.73198,8.3,0.038427677,17,2020,,Residential,Supermarket,443.4228
GM_NCN55,Action,Rocket League,24.17538,14.6,0.099574908,10,2016,,Outskirts,Convenience Store,2097.27
GM_FDQ58,Action,DOTA,15.5034,7.315,0.015388393,17,2020,,Residential,Supermarket,732.38
GM_FDY38,Arcade,PUBG,23.423,,0.118599314,27,2013,Medium,Outskirts,Department Store,994.7052
GM_FDH56,Arcade,FIFA,11.71492,9.8,0.063817206,46,2015,Small,Metropolitan,Supermarket,556.6088
GM_FDL48,Arcade,Valorant,5.01034,19.35,0.082601537,18,2021,Medium,Outskirts,Malls,343.5528
GM_FDC48,Action,Valorant,8.10592,,0.015782495,27,2013,Medium,Outskirts,Department Store,4022.7636
GM_FDN33,Arcade,DOTA,9.57436,6.305,0.123365446,45,2018,,Residential,Supermarket,1076.5986
GM_FDA36,Action,Valorant,18.68924,5.985,0.005698435,17,2020,,Residential,Supermarket,4710.535
GM_FDT44,Action,FIFA,11.83466,16.6,0.103569075,17,2020,,Residential,Supermarket,1516.0266
GM_FDQ56,Action,FIFA,8.53908,6.59,0.10581147,45,2018,,Residential,Supermarket,2187.153
GM_NCC54,Action,Prince of Persia,24.04196,,0.171079215,19,2013,Small,Metropolitan,Convenience Store,1589.2646
GM_FDU11,Action,Grand Theft Auto,12.23098,4.785,0.092737611,49,2017,Medium,Metropolitan,Supermarket,2145.2076
GM_DRL59,Simulation,Uncharted,5.20298,16.75,0.021206464,13,2014,High,Outskirts,Supermarket,1977.426
GM_FDM24,Arcade,Valorant,15.16366,6.135,0.0794507,49,2017,Medium,Metropolitan,Supermarket,1547.3192
GM_FDI57,Action,Call of Duty,19.87768,19.85,0.05413521,45,2018,,Residential,Supermarket,1621.8888
GM_DRC12,Action,Hitman,19.22188,17.85,0.037980963,18,2021,Medium,Outskirts,Malls,718.3982
GM_NCM42,Action,Apex Legends,10.96912,,0.028184344,27,2013,Medium,Outskirts,Department Store,2303.668
GM_FDA46,Action,DOTA,19.37136,13.6,0.196897637,10,2016,,Outskirts,Convenience Store,2748.4224
GM_FDA31,Action,FIFA,17.5008,7.1,0.109920138,13,2014,High,Outskirts,Supermarket,3775.086
GM_NCJ31,Action,Rocket League,23.99196,19.2,0.182619235,35,2019,Small,Residential,Supermarket,4064.0432
GM_FDG52,Simulation,League of Legends,4.77402,13.65,0.065630844,46,2015,Small,Metropolitan,Supermarket,1587.2672
GM_NCL19,Action,Rocket League,14.2347,,0.027447057,19,2013,Small,Metropolitan,Convenience Store,214.3876
GM_FDS10,Action,DOTA,18.07318,19.2,0.035178935,35,2019,Small,Residential,Supermarket,4078.025
