hostel_name,City,latitude,longitude,feature,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security
Aastha girls hostel,Indore,22.6885487,75.8671628,"For Girls,NonAC,Wifi,Mess",4.95,"Bhawarkuan, Indore",8Votes,9425054749,9826082392,"Indrapuri Colony Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452014, India",16000,8000,7500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Aayush Boys For Boys,Indore,22.6837224,75.8613839,"For Boys,NonAC,Wifi,Mess",3,"Bhawarkuan, Indore",7Votes,731 - 2465507,9039003726,"Pipliya Rao, Indore, Madhya Pradesh 452014, India",NA,3500,3000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Aditi Girls Hostel,Indore,22.6927876,75.8670118,"For Girls,AC,Wifi,Mess",4.3,"Bhawarkuan, Indore",7Votes,9039003424,8878472141,"Bhavarkuan Square, Indore, Madhya Pradesh, India",9000,6500,6300,For Girls,AC,Wifi,Mess,Cleaning,Security
Agrawal Guest House,Indore,22.7538199,75.907994,"For Boys,NonAC,Wifi,Mess",3.4,"Bombay Hospital, Indore",5Votes,8889844406,9589500544,"350-A, Mahalaxmi, Ganesh Nagar Main Rd, near Bank of India, Sector A, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010, India",10000,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Akanksha For Girls,Indore,22.7001285,75.8634777,"For Girls,NonAC,Wifi,Mess",3.3,"Bhawarkuan, Indore",7Votes,0731 - 2360534,9826867583,"Bhawarkua Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh, India",NA,5200,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Alka Parihar,Indore,22.7277431,75.8828279,"For Girls,NonAC,Wifi,Mess",3.5,"Janjirwala Square, Indore",8Votes,9926000387,9926000387,"Chandni Apartment, New Palasia, Indore, Madhya Pradesh 452001, India",NA,5000,"4,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Aman For Boys,Indore,22.7334613,75.8497947,"For Boys,NonAC,Wifi,Mess",2.3,"Marimata Square, Indore",9Votes,0731 - 4227214,0731 - 4227214,"B1, swami complex, Marimata Rd, Marimata Chouraha, Brahm Bagh Colony, Indore, Madhya Pradesh 452001, India",NA,3000,1700,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Aman Homes,Indore,22.75328,75.904735,"For CoEd,NonAC,Wifi,Mess",3.2,"Bombay Hospital, Indore",8Votes,9826200390,9826290390,"Bombay Hospital, Eastern Ring Rd, Pushp Vihar Colony, Mahalaxmi Nagar, Indore, Madhya Pradesh 452010, India",NA,NA,10000,For CoEd,NonAC,Wifi,Mess,Cleaning,Security
Angal For Girls,Indore,22.7504618,75.8994536,"For Girls,NonAC,Wifi,Mess",3,"Vijay Nagar, Indore",6Votes,0731 - 4222239,0731 - 4222239,"7,8 Ganga Devi Nagar, MR 10 Rd, near Radisson Hotel, Ganga Devi Nagar, Indore, Madhya Pradesh 452011, India",NA,5000,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Apple For Girls,Indore,22.6970555,75.8650415,"For Girls,NonAC,Wifi,Mess",3.2,"Tower Square, Indore",6Votes,0731 - 4005438,8103921021,"No 922 Bhawar Kuan Road, Tower Chauraha, Near, Khatiwala Tank, Indore, Madhya Pradesh 452001, India",6000,5000,4700,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Apple For Girls,Indore,22.7641604,75.8855927,"For Girls,NonAC,Wifi,Mess",3.8,"Ashok Nagar, Indore",8Votes,0731 - 4287462,9691113052,"137,138 Sch No, near Brilliant Convention Centre, Scheme Number 78, Part II, Scheme 78, Vijay Nagar, Indore, Madhya Pradesh 452010, India",6500,4500,5500,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Apple For Girls,Indore,22.6956217,75.866299,"For Girls,NonAC,Wifi,Mess",2.4,"Bhawarkuan, Indore",9Votes,0731 - 4287462,9229238910,"Shop No 11, Bhawarkua Main Rd, opposite RR Fuels Bharat Petrol Pump, Tower Square, Ashok Nagar, Indore, Madhya Pradesh 452001, India",NA,5300,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Apple Girls Hostel indore,Indore,22.6955749,75.8662635,"For Girls,NonAC,Wifi,Mess",3.2,"Bhawarkuan, Indore",5Votes,0731 - 4222239,0731 - 4222239,"11, Bhawarkua main Road, Near SBI ATM Opp. BHARAT PETROL PUMP between bhawarkua and tower square, Tower Chouraha, Ashok Nagar, Indore, Madhya Pradesh 452001, India",7000,6500,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Aradhna For Girls,Indore,22.686373,75.8682617,"For Girls,NonAC,Wifi,Mess",2.8,"Bhawarkuan, Indore",8Votes,9406623820,9424819061,"163, Bhawarkua Main Rd, Indrapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001, India",NA,4900,4400,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Asha Home,Indore,22.75252,75.8989121,"For Girls,NonAC,Wifi,Mess",3.5,"Vijay Nagar, Indore",6Votes,0731 - 4059410,7509938807,"42, Maa Ambika Nagar Behind Mangal City Mall Near Vijay Nagar, Bhagyashree Colony, Indore, Madhya Pradesh 452010, India",NA,"5,900","5,000",For Girls,NonAC,Wifi,Mess,Cleaning,Security
Ashirwad Unique For Girls,Indore,22.7230848,75.8652316,"For Girls,NonAC,Wifi,Mess",2.6,"Jail Road, Indore",5Votes,0731 - 2543119,9300262220,"C-10, Poddar Plaza, near Shastri Market, New Siyaganj, Indore, Madhya Pradesh 452001, India",NA,2200,3000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Ashiyana For Girls,Indore,22.7121068,75.873815,"For Girls,NonAC,Wifi,Mess",3.6,"Madhumilan Square, Indore",7Votes,0731 - 4096446,0731 - 4096446,"Near 5 Kibe Compound, Opposite Anand Petrol Pump Kamla Nehru School, Road, Kibe Compound, Indore, Madhya Pradesh 452007, India",NA,5700,5300,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Ashray For Boys,Indore,22.7425687,75.8970056,"For Boys,NonAC,Wifi,Mess",3.6,"Malviya Nagar, Indore",7Votes,9826030203,9826030203,"Scheme No. 54, Malviya Nagar, MR 9 Rd, opposite Barfani Dham, Malviya Nagar, Indore, Madhya Pradesh 452008, India",NA,4000,12000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Baba Kripa For Boys,Indore,22.7364123,75.8961313,"For Boys,NonAC,Wifi,Mess",3.1,"Press Complex, Indore",7Votes,9893883789,9893362886,"45, Anurag Nagar, behind Press Complex, Sunil Nagar, Krishna Bagh Colony, Indore, Madhya Pradesh 452001, India",NA,1700,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Bhagyalaxmi For Boys,Indore,22.7488963,75.9000885,"For Boys,NonAC,Wifi,Mess",3.2,"Vijay Nagar, Indore",5Votes,9754084007,9424084007,"246, Ward 35, Adarsh Meghdoot Nagar, Indore, Madhya Pradesh 452010, India",3000,2000,1750,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Bhagyalaxmi For Girls,Indore,22.7181449,75.8874301,"For Girls,NonAC,Wifi,Mess",2.6,"Geeta Bhawan, Indore",9Votes,9424515236,9926523916,"No. 13C, Geeta Bhawan Main Road, Near Geeta Bhawan Mandir, Kailash Park, Manoramaganj, Kailash Park Colony, Indore, Madhya Pradesh 452001, India",NA,8000,6000,For Girls,NonAC,Wifi,Mess,Cleaning,Security
Bhakti Apartment Only Boys,Indore,22.6844633,75.8639934,"For Boys,NonAC,Wifi,Mess",3,"Bhawarkuan, Indore",7Votes,9826226930,9826226930,"Bholaram Ustad Marg, Indore, Madhya Pradesh 452014, India",NA,"4,000",NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security
Bhakti Sidhhant Saraswati For Boys,Indore,22.6942204,75.8676516,"For Boys,NonAC,Wifi,Mess",3.3,"Bhawarkuan, Indore",9Votes,9893166165,9753155637,"34, Bhawarkua Main Rd, Professor Colony, Indore, Madhya Pradesh 452001, India",NA,NA,2000,For Boys,NonAC,Wifi,Mess,Cleaning,Security
