hostel_name,City,latitude,longitude,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security,hostel_reviews
Aastha girls hostel,Indore,22.6885487,75.8671628,4.95,Bhawarkuan; Indore,8Votes,9425054749,9826082392,Indrapuri Colony Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452014; India,16000,8000,7500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,wonderful hostel; wonderful experience; neat old hostel lot charm; staff helpful; hardly noise rooms; good beds not rock-hard like hostels; convenient better nonsmoking like rest hostel; upper floor room great view space needle; location ca n't beat; the best a girl can get; incredible; phenomenol; world class; ultimate; incredible; amazing
Aayush Boys For Boys,Indore,22.6837224,75.8613839,3,Bhawarkuan; Indore,7Votes,731 - 2465507,9039003726,Pipliya Rao; Indore; Madhya Pradesh 452014; India,NA,3500,3000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,old building nicely maintained restored people not like slightly old finish; loved; room floor building; meant quiet fairly clear view space needle 5 blocks away;kitchen; worked clean;location partial residential area homely feel outside lots good neighbourhood restaurants; short walk center provided access
Aditi Girls Hostel,Indore,22.6927876,75.8670118,4.3,Bhawarkuan; Indore,7Votes,9039003424,8878472141,Bhavarkuan Square; Indore; Madhya Pradesh; India,9000,6500,6300,For Girls,AC,Wifi,Mess,Cleaning,Security,average experience rooms sixth avenue inn included delta weekend getaway package seattle; centrally located inn not hostel choose nor seek again.the property old showing age; rooms cramped dark; furnishings uncomfortable extremely hard beds rickety wicker patio furniture used place conventional chairs; high speed internet access provided 10.00 day port wired wall does not extend tiny nearby desk making computers difficult use; pay-as-you-go terminal lobby slow crippled worth money; not place stay plan work room.the desk staff helpful needed fax refax documents.breakfast restaurant surprisingly hearty not seek lived seattle; breakfast not included room.in end property not best choice business vacation users good solution young people looking inexpensive rooms heart seattle;  
Agrawal Guest House,Indore,22.7538199,75.907994,3.4,Bombay Hospital; Indore,5Votes,8889844406,9589500544,350-A; Mahalaxmi; Ganesh Nagar Main Rd; near Bank of India; Sector A; Mahalaxmi Nagar; Indore; Madhya Pradesh 452010; India,10000,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,surprising enjoyable stay; 3 hostels stayed trip seattle vancouver moore hostel expensive surprisingly best; room bare-bones comfortable; 7th floor room quiet windows open; immediate neighborhood devoid homeless beggers; guest wireless internet lobby; word advice sure lock deadbolt door leave room.like reviewer walked moore king street amtrak station; walking n't bad pretty far; mistake walking 1st walking virginia extremely steep hill; way hostel website misleading; picture shown moore theater not entrance hostel; hostel located 2nd ave middle stewart virginia; sign entrance hostel flat building not visible walking street; reached area 11 night totally confused hostel; maybe just tired.by way reviewers mention hostel couple blocks pike market; true extremely steep decline stewart virginia; save punishment knees walking 2nd ave pike street market; want good exercise walk uphill stewart hostel; majority market does n't start opening 10am takes 1/2 hour setup; 6pm pretty closed.i apologize mentioned coupon hostel;  
Akanksha For Girls,Indore,22.7001285,75.8634777,3.3,Bhawarkuan; Indore,7Votes,0731 - 2360534,9826867583,Bhawarkua Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh; India,NA,5200,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,not central stayed 2 children overall good time; enjoyed free car service warned ca n't car room excellent; reason offer car service soon clear not central expect hostel expensive.all staff excellent especially dealing matter lost teddy bear; happily search.breakfast n't good nothing wrong not good expect money amazingly day not buffet.as reviewers mention public areas strangely dark.there facilities swimming pool think;  
Alka Parihar,Indore,22.7277431,75.8828279,3.5,Janjirwala Square; Indore,8Votes,9926000387,9926000387,Chandni Apartment; New Palasia; Indore; Madhya Pradesh 452001; India,NA,5000,"4,500",For Girls,NonAC,Wifi,Mess,Cleaning,Security,good location recently stayed 3 nights sheraton; did priceline got room 100 night fri mon; good location downtown area; walking distance pike street market little pioneer square walk not bad; highly recommend walking parking downtown area terrible; parking hostel cost 26 night; hostel nice clean room average small bathroom hear people door; n't think stayed n't got good rate priceline; note restaurants market area close 6 6:30 finding local place eat kind hard; weather permits suggest going bank america building 5th street observation floor costs just 5 great view better space needle; n't forget umbrella sweater coat hood oh good walking shoes; rains lot seattle definitely fall temp 50 60; try ferry ride bremerton bainbridge island drive car walk; came bremerton night view downtown seattle awesome;  
Aman For Boys,Indore,22.7334613,75.8497947,2.3,Marimata Square; Indore,9Votes,0731 - 4227214,0731 - 4227214,B1; swami complex; Marimata Rd; Marimata Chouraha; Brahm Bagh Colony; Indore; Madhya Pradesh 452001; India,NA,3000,1700,For Boys,NonAC,Wifi,Mess,Cleaning,Security,watch spent single night westin seattle left favorite jacket closet left room; n't worried reported missing jacket just hours check town days; inquiries pay attention trying track; jacket not appeared logical conclusion hostel employee nice jacket; expected budget accommodation not supposedly fine hostel; close track things choose stay;  
Aman Homes,Indore,22.75328,75.904735,3.2,Bombay Hospital; Indore,8Votes,9826200390,9826290390,Bombay Hospital; Eastern Ring Rd; Pushp Vihar Colony; Mahalaxmi Nagar; Indore; Madhya Pradesh 452010; India,NA,NA,10000,For CoEd,NonAC,Wifi,Mess,Cleaning,Security,met expectations centrally located hostel blocks water popular nightlife shopping options belltown downtown; classify property star location; paid wedding rate not sure fares value proposition; room spacious little outdated; rooms decent views lower floor drab panaroma parking lot buildings; adequate fitness center sauna pool basement quaint bar/restaurant attached hostel; parking 30 day outrage possibly standard downtown street parking weekend save dollars; willing stay future price significantly lower nearby four-star competition;  
Angal For Girls,Indore,22.7504618,75.8994536,3,Vijay Nagar; Indore,6Votes,0731 - 4222239,0731 - 4222239,7;8 Ganga Devi Nagar; MR 10 Rd; near Radisson Hotel; Ganga Devi Nagar; Indore; Madhya Pradesh 452011; India,NA,5000,NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security,stay clear; internet reservation friday rang hour later add thursday booking; thursday rang let know arriving late said no problem; arrive 10.30pm hear oh n't booking tonight; n't room; total apathy not concerned; says sorrys looks reservation book sorrys apathy; finally says bb door calls authority hangs says sorry times; incompetence management employees; completely soured trip; stay away;  
Apple For Girls,Indore,22.6970555,75.8650415,3.2,Tower Square; Indore,6Votes,0731 - 4005438,8103921021,No 922 Bhawar Kuan Road; Tower Chauraha; Near; Khatiwala Tank; Indore; Madhya Pradesh 452001; India,6000,5000,4700,For Girls,NonAC,Wifi,Mess,Cleaning,Security,town visitors love hostel town visitors love old wood traditional ambience good food hostel; reported stay comfy service good; not right downtown blocks easy walking quick taxi ride away; hostel town car service; hosted major event daughter wedding guests happy; incidentally hunt club catered buffet talk relatives;  
